_id,bonus,current_document,description,docno,edittion_time,group,position1,position2,position3,posted_document,query,query1,query2,query3,query_id,ranker,round_no,score1,score2,score3,username,variant
644d19e5f183a5ca3aa7daae,05,Folk remedies for soothing a sore throat have been used for centuries and include herbal teas gargles steam inhalation and honey A popular folk remedy for sore throats is the use of herbs such as marshmallow root licorice root slippery elm bark or sage leaves steeped in hot water to make an infusion or tea Gargling with salt water can reduce swelling and help kill germs that cause infection while steam inhalation helps loosen mucus Honey has antiinflammatory properties which soothes irritated tissues in the throat when taken orally or applied topically as a paste Other herbal remedies like chamomile flowers and elderberry juice are also thought to provide relief from sore throats,What folk remedies are there for soothing a sore throat,ROUND01261C8DJE1B,,C,20,30,20,Folk remedies for soothing a sore throat have been used for centuries and include herbal teas gargles steam inhalation and honey A popular folk remedy for sore throats is the use of herbs such as marshmallow root licorice root slippery elm bark or sage leaves steeped in hot water to make an infusion or tea Gargling with salt water can reduce swelling and help kill germs that cause infection while steam inhalation helps loosen mucus Honey has antiinflammatory properties which soothes irritated tissues in the throat when taken orally or applied topically as a paste Other herbal remedies like chamomile flowers and elderberry juice are also thought to provide relief from sore throats,folk remedies sore throat,folk remedies sore throat,sore throat,sore throat herbal remedy,261,BERT,1,0000426201586379,607877588272,0000878544058651,8DJE1B,True
644d19e5f183a5ca3aa7daaf,10,Folk remedies for soothing a sore throat have been used for centuries and include herbal teas gargles steam inhalation and honey A popular folk remedy for sore throats is the use of herbs such as marshmallow root licorice root slippery elm bark or sage leaves steeped in hot water to make an infusion or tea Gargling with salt water can reduce swelling and help kill germs that cause infection while steam inhalation helps loosen mucus Honey has antiinflammatory properties which soothes irritated tissues in the throat when taken orally or applied topically as a paste Other herbal remedies like chamomile flowers and elderberry juice are also thought to provide relief from sore throats,What folk remedies are there for soothing a sore throat,ROUND01261Cdummy,20230501 165031496000,C,10,20,10,Folk remedies for soothing a sore throat have been used for centuries and include herbal teas gargles steam inhalation and honey A popular folk remedy for sore throats is the use of herbs such as marshmallow root licorice root slippery elm bark or sage leaves steeped in hot water to make an infusion or tea Gargling with salt water can reduce swelling and help kill germs that cause infection while steam inhalation helps loosen mucus Honey has antiinflammatory properties which soothes irritated tissues in the throat when taken orally or applied topically as a paste Other herbal remedies like chamomile flowers and elderberry juice are also thought to provide relief from sore throats,folk remedies sore throat,folk remedies sore throat,sore throat,sore throat herbal remedy,261,BERT,1,0000426201586379,607877588272,0000878544058651,dummy,True
644d19e5f183a5ca3aa7da5f,0333333333333,The official PGA rules for golf known as the USGA Rules of Golf are designed to ensure fair and equitable play These rules provide a framework for competition and define how the game should be played on both professional and recreational levels They outline important information about playing procedure etiquette safety considerations and other aspects of play For beginners or those new to the game looking for an overview of golfs basics including key concepts such as course layout ball position types of shots eg chip shot vs putt understanding handicap hazards watersand traps  there is plenty more that can be learned from the many resources available online through reputable sources like the USGA website,What are the official PGA rules for golf,ROUND01204Cdummy,,C,30,40,30,The official PGA rules for golf known as the USGA Rules of Golf are designed to ensure fair and equitable play These rules provide a framework for competition and define how the game should be played on both professional and recreational levels They outline important information about playing procedure etiquette safety considerations and other aspects of play For beginners or those new to the game looking for an overview of golfs basics including key concepts such as course layout ball position types of shots eg chip shot vs putt understanding handicap hazards watersand traps  there is plenty more that can be learned from the many resources available online through reputable sources like the USGA website,rules of golf,rules of golf,overview of golf for beginners,usga rules of golf,204,BERT,1,0000525813142303,000108278763946,0000311683717882,dummy,True
644d19e5f183a5ca3aa7da60,05,The official PGA rules for golf known as the USGA Rules of Golf are designed to ensure fair and equitable play These rules provide a framework for competition and define how the game should be played on both professional and recreational levels They outline important information about playing procedure etiquette safety considerations and other aspects of play For beginners or those new to the game looking for an overview of golfs basics including key concepts such as course layout ball position types of shots eg chip shot vs putt understanding handicap hazards watersand traps  there is plenty more that can be learned from the many resources available online through reputable sources like the USGA website,What are the official PGA rules for golf,ROUND01204CNMABOT,,C,20,30,20,The official PGA rules for golf known as the USGA Rules of Golf are designed to ensure fair and equitable play These rules provide a framework for competition and define how the game should be played on both professional and recreational levels They outline important information about playing procedure etiquette safety considerations and other aspects of play For beginners or those new to the game looking for an overview of golfs basics including key concepts such as course layout ball position types of shots eg chip shot vs putt understanding handicap hazards watersand traps  there is plenty more that can be learned from the many resources available online through reputable sources like the USGA website,rules of golf,rules of golf,overview of golf for beginners,usga rules of golf,204,BERT,1,0000525813142303,000108278763946,0000311683717882,NMABOT,True
644d19e5f183a5ca3aa7da61,10,The official PGA rules for golf known as the USGA Rules of Golf are designed to ensure fair and equitable play These rules provide a framework for competition and define how the game should be played on both professional and recreational levels They outline important information about playing procedure etiquette safety considerations and other aspects of play For beginners or those new to the game looking for an overview of golfs basics including key concepts such as course layout ball position types of shots eg chip shot vs putt understanding handicap hazards watersand traps  there is plenty more that can be learned from the many resources available online through reputable sources like the USGA website,What are the official PGA rules for golf,ROUND01204CNMSBOT,,C,10,20,10,The official PGA rules for golf known as the USGA Rules of Golf are designed to ensure fair and equitable play These rules provide a framework for competition and define how the game should be played on both professional and recreational levels They outline important information about playing procedure etiquette safety considerations and other aspects of play For beginners or those new to the game looking for an overview of golfs basics including key concepts such as course layout ball position types of shots eg chip shot vs putt understanding handicap hazards watersand traps  there is plenty more that can be learned from the many resources available online through reputable sources like the USGA website,rules of golf,rules of golf,overview of golf for beginners,usga rules of golf,204,BERT,1,0000525813142303,000108278763946,0000311683717882,NMSBOT,True
644d19e5f183a5ca3aa7da63,025,The official PGA rules for golf known as the USGA Rules of Golf are designed to ensure fair and equitable play These rules provide a framework for competition and define how the game should be played on both professional and recreational levels They outline important information about playing procedure etiquette safety considerations and other aspects of play For beginners or those new to the game looking for an overview of golfs basics including key concepts such as course layout ball position types of shots eg chip shot vs putt understanding handicap hazards watersand traps  there is plenty more that can be learned from the many resources available online through reputable sources like the USGA website,What are the official PGA rules for golf,ROUND01204ANFY421,,A,40,40,40,The official PGA rules for golf known as the USGA Rules of Golf are designed to ensure fair and equitable play These rules provide a framework for competition and define how the game should be played on both professional and recreational levels They outline important information about playing procedure etiquette safety considerations and other aspects of play For beginners or those new to the game looking for an overview of golfs basics including key concepts such as course layout ball position types of shots eg chip shot vs putt understanding handicap hazards watersand traps  there is plenty more that can be learned from the many resources available online through reputable sources like the USGA website,rules of golf,rules of golf,overview of golf for beginners,usga rules of golf,204,LambdaMART,1,2634578228,2634578228,2634578228,NFY421,True
644d19e5f183a5ca3aa7da64,0333333333333,The official PGA rules for golf known as the USGA Rules of Golf are designed to ensure fair and equitable play These rules provide a framework for competition and define how the game should be played on both professional and recreational levels They outline important information about playing procedure etiquette safety considerations and other aspects of play For beginners or those new to the game looking for an overview of golfs basics including key concepts such as course layout ball position types of shots eg chip shot vs putt understanding handicap hazards watersand traps  there is plenty more that can be learned from the many resources available online through reputable sources like the USGA website,What are the official PGA rules for golf,ROUND01204Adummy,,A,30,30,30,The official PGA rules for golf known as the USGA Rules of Golf are designed to ensure fair and equitable play These rules provide a framework for competition and define how the game should be played on both professional and recreational levels They outline important information about playing procedure etiquette safety considerations and other aspects of play For beginners or those new to the game looking for an overview of golfs basics including key concepts such as course layout ball position types of shots eg chip shot vs putt understanding handicap hazards watersand traps  there is plenty more that can be learned from the many resources available online through reputable sources like the USGA website,rules of golf,rules of golf,overview of golf for beginners,usga rules of golf,204,LambdaMART,1,2634578228,2634578228,2634578228,dummy,True
644d19e5f183a5ca3aa7da65,02,The official PGA rules for golf known as the USGA Rules of Golf are designed to ensure fair and equitable play These rules provide a framework for competition and define how the game should be played on both professional and recreational levels They outline important information about playing procedure etiquette safety considerations and other aspects of play For beginners or those new to the game looking for an overview of golfs basics including key concepts such as course layout ball position types of shots eg chip shot vs putt understanding handicap hazards watersand traps  there is plenty more that can be learned from the many resources available online through reputable sources like the USGA website,What are the official PGA rules for golf,ROUND01204ANMABOT,,A,50,50,50,The official PGA rules for golf known as the USGA Rules of Golf are designed to ensure fair and equitable play These rules provide a framework for competition and define how the game should be played on both professional and recreational levels They outline important information about playing procedure etiquette safety considerations and other aspects of play For beginners or those new to the game looking for an overview of golfs basics including key concepts such as course layout ball position types of shots eg chip shot vs putt understanding handicap hazards watersand traps  there is plenty more that can be learned from the many resources available online through reputable sources like the USGA website,rules of golf,rules of golf,overview of golf for beginners,usga rules of golf,204,LambdaMART,1,2634578228,2634578228,2634578228,NMABOT,True
644d19e5f183a5ca3aa7da66,05,The official PGA rules for golf known as the USGA Rules of Golf are designed to ensure fair and equitable play These rules provide a framework for competition and define how the game should be played on both professional and recreational levels They outline important information about playing procedure etiquette safety considerations and other aspects of play For beginners or those new to the game looking for an overview of golfs basics including key concepts such as course layout ball position types of shots eg chip shot vs putt understanding handicap hazards watersand traps  there is plenty more that can be learned from the many resources available online through reputable sources like the USGA website,What are the official PGA rules for golf,ROUND01204ANMSBOT,,A,20,20,20,The official PGA rules for golf known as the USGA Rules of Golf are designed to ensure fair and equitable play These rules provide a framework for competition and define how the game should be played on both professional and recreational levels They outline important information about playing procedure etiquette safety considerations and other aspects of play For beginners or those new to the game looking for an overview of golfs basics including key concepts such as course layout ball position types of shots eg chip shot vs putt understanding handicap hazards watersand traps  there is plenty more that can be learned from the many resources available online through reputable sources like the USGA website,rules of golf,rules of golf,overview of golf for beginners,usga rules of golf,204,LambdaMART,1,2634578228,2634578228,2634578228,NMSBOT,True
644d19e5f183a5ca3aa7da67,025,The official PGA rules for golf known as the USGA Rules of Golf are designed to ensure fair and equitable play These rules provide a framework for competition and define how the game should be played on both professional and recreational levels They outline important information about playing procedure etiquette safety considerations and other aspects of play For beginners or those new to the game looking for an overview of golfs basics including key concepts such as course layout ball position types of shots eg chip shot vs putt understanding handicap hazards watersand traps  there is plenty more that can be learned from the many resources available online through reputable sources like the USGA website,What are the official PGA rules for golf,ROUND01204DBGKI3Z,20230505 195802874000,D,50,40,40,The official PGA rules for golf known as the USGA Rules of Golf are designed to ensure fair and equitable play These rules provide a framework for competition and define how the game should be played on both professional and recreational levels They outline important information about playing procedure etiquette safety considerations and other aspects of play For beginners or those new to the game looking for an overview of golfs basics including key concepts such as course layout ball position types of shots eg chip shot vs putt understanding handicap hazards watersand traps  there is plenty more that can be learned from the many resources available online through reputable sources like the USGA website,rules of golf,rules of golf,overview of golf for beginners,usga rules of golf,204,BERT,1,0000525813142303,000108278763946,0000311683717882,BGKI3Z,False
